Week,Week Title,Date,#,Lecture,Readings,Discussion,Lab Release,Lab Due,Project Release,Project Due,Notes
1,From BabyPandas to Pandas,Mon 04/01/24,,,,,,,,,
,,Tue 04/02/24,1,"Introduction, Data Science Lifecycle",[Ch. 1](https://learningds.org/ch/01/lifecycle_intro.html),,,,,,
,,Wed 04/03/24,,,,,"Lab 1: Python, NumPy, and Pandas",,,,
,,Thu 04/04/24,2,DataFrame Fundamentals,"[Ch. 6, 6.1](https://learningds.org/ch/06/pandas_intro.html)",,,,,,
,,Fri 04/05/24,,,,"Environment Setup, Exam Prep 1",,,Project 1,,
2,Dataframes,Mon 04/08/24,,,,,,,,,
,,Tue 04/09/24,3,Aggregating,[Ch. 6.2](https://learningds.org/ch/06/pandas_aggregating.html),,,,,,
,,Wed 04/10/24,,,,,Lab 2: More Pandas,"Lab 1: Python, NumPy, and Pandas",,,
,,Thu 04/11/24,4,"Simpson's Paradox, Joining, Transforming",[Ch. 6.3-6.5](https://learningds.org/ch/06/pandas_joining.html),,,,,,
,,Fri 04/12/24,,,,Exam Prep 2,,,,Project 1 checkpoint,
3,"Messy Data, Statistical Testing",Mon 04/15/24,,,,,,,,,
,,Tue 04/16/24,5,Exploring and Cleaning Data,[Ch. 9](https://learningds.org/ch/09/wrangling_intro.html) and [10](https://learningds.org/ch/10/eda_intro.html),,,,,,
,,Wed 04/17/24,,,,,Lab 3: DataFrame Manipulation,Lab 2: More Pandas,,,
,,Thu 04/18/24,6,Hypothesis and Permutation Testing,[Ch. 17](https://learningds.org/ch/17/inf_pred_gen_intro.html),,,,,,
,,Fri 04/19/24,,,,Exam Prep 3,,,Project 2,Project 1,
4,Missing Values,Mon 04/22/24,,,,,,,,,
,,Tue 04/23/24,7,Missingness Mechanisms,"[A1](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4121561/), [A2](https://stefvanbuuren.name/fimd/sec-MCAR.html)",,,,,,
,,Wed 04/24/24,,,,,Lab 4: Hypothesis and Permutation Testing,Lab 3: DataFrame Manipulation,,,
,,Thu 04/25/24,8,Imputation,[DSP 6.3-6.5](https://notes.dsc80.com/content/06/handling-missing-data.html),,,,,,
,,Fri 04/26/24,,,,Exam Prep 4,,,,Project 2 checkpoint,
5,HTTP,Mon 04/29/24,,,,,,,,,
,,Tue 04/30/24,9,HTTP Basics,[Ch. 14.2-14.4](https://learningds.org/ch/14/web_json.html),,,,,,
,,Wed 05/01/24,,,,,Lab 5: Missing Values and Imputation,Lab 4: Hypothesis and Permutation Testing,,,
,,Thu 05/02/24,10,Midterm Exam (in class),,,,,,,
,,Fri 05/03/24,,,,Exam Prep 5,,,Project 3,Project 2,
6,Web data,Mon 05/06/24,,,,,Lab 6: HTTP and HTML,Lab 5: Missing Values and Imputation,,,
,,Tue 05/07/24,11,Web Scraping,[Ch. 14.2-14.4](https://learningds.org/ch/14/web_json.html),,,,,,
,,Wed 05/08/24,,,,,,,,,
,,Thu 05/09/24,12,Regular Expressions,[Ch. 13](https://learningds.org/ch/13/text_intro.html),,,,,,
,,Fri 05/10/24,,,,Exam Prep 6,,,,Project 3 checkpoint,
7,"Text data, Modeling",Mon 05/13/24,,,,,,,,,
,,Tue 05/14/24,13,Text Features,[Ch. 13.4](https://learningds.org/ch/13/text_sotu.html),,,,,,
,,Wed 05/15/24,,,,,Lab 7: Regular Expressions and Text Data,Lab 6: HTTP and HTML,,,
,,Thu 05/16/24,14,Linear Regression,[Ch. 15.0-15.6](https://learningds.org/ch/15/linear_intro.html),,,,,,
,,Fri 05/17/24,,,,Exam Prep 7,,,Final Project,Project 3,
8,Feature Engineering,Mon 05/20/24,,,,,,,,,
,,Tue 05/21/24,15,Feature Engineering,[Ch. 15.7-15.9](https://learningds.org/ch/15/linear_feature_eng.html),,,,,,
,,Wed 05/22/24,,,,,Lab 8: Modeling and Feature Engineering,Lab 7: Regular Expressions and Text Data,,,
,,Thu 05/23/24,16,"Standardization, Multicollinearity, and Generalization","[Ch. 16](https://learningds.org/ch/16/ms_train_test.html), [17.6](https://learningds.org/ch/17/inf_pred_gen_prob.html)",,,,,,
,,Fri 05/24/24,,,,Exam Prep 8,,,,Final Project Checkpoint 1,
9,Modeling in Practice,Mon 05/27/24,,,,,,,,,
,,Tue 05/28/24,16,"Hyperparameters, Cross-Validation, and Decision Trees",[Ch. 16](https://learningds.org/ch/16/ms_intro.html),,,,,,
,,Wed 05/29/24,,,,,Lab 9: Pipelines,Lab 8: Modeling and Feature Engineering,,,
,,Thu 05/30/24,17,Decision Trees and Random Forests,,,,,,,
,,Fri 05/31/24,,,,Exam Prep 9,,,,Final Project Checkpoint 2,
10,Evaluating Classifiers,Mon 06/03/24,,,,,,,,,
,,Tue 06/04/24,18,Classifier Evaluation and Model Fairness,[Ch. 19.5](https://learningds.org/ch/19/class_dr.html),,,,,,
,,Wed 06/05/24,,,,,,Lab 9: Pipelines,,,
,,Thu 06/06/24,19,"Review, Conclusion",,,,,,,
,,Fri 06/07/24,,,,Exam Prep 10,,,,,
11,Final Exam and Project 5,Sat 06/08/24,,Final Exam,,,,,,,
,,Wed 06/12/24,,,,,,,,Final Project,
